DETAIL RECORD ID|EMPLOYER NAME|EMPLOYER EIN|EMPLOYER PLAN ID|EMPLOYER SUB PLAN ID|ORIGINATING VENDOR PLAN ID|ORIGINATING VENDOR SUB PLAN ID|RECIPIENT VENDOR PLAN ID|RECIPIENT VENDOR SUB PLAN ID|TYPE OF ACCOUNT|PAYROLL FREQUENCY|EMPLOYEE SSN|EMPLOYEE ID|EMPLOYEE TITLE|EMPLOYEE FIRST NAME|EMPLOYEE MIDDLE NAME|EMPLOYEE LAST NAME|ADDRESS LINE1|ADDRESS LINE2|ADDRESS LINE3|CITY|STATE|Zip|COUNTRY CODE|RESIDENCY CODE|DATE OF BIRTH|GENDER ID|MARITAL STATUS|PHONE NUMBER1|PHONE NUMBER TYPE1|PHONE EXTENSION1|PHONE NUMBER2|PHONE NUMBER TYPE2|PHONE EXTENSION2|EMAIL ADDRESS|PERSONAL EMAIL ADDRESS|PAYROLL DATE|CONTRIBUTION SOURCE CODE1|CONTRIBUTION SOURCE AMOUNT1|CONTRIBUTION SOURCE CODE2|CONTRIBUTION SOURCE AMOUNT2|CONTRIBUTION SOURCE CODE3|CONTRIBUTION SOURCE AMOUNT3|CONTRIBUTION SOURCE CODE4|CONTRIBUTION SOURCE AMOUNT4|CONTRIBUTION SOURCE CODE5|CONTRIBUTION SOURCE AMOUNT5|CONTRIBUTION SOURCE CODE6|CONTRIBUTION SOURCE AMOUNT6|CONTRIBUTION SOURCE CODE7|CONTRIBUTION SOURCE AMOUNT7|CONTRIBUTION SOURCE CODE8|CONTRIBUTION SOURCE AMOUNT8|Final Contribution Indicator|LOAN NUMBER 1|LOAN REPAYMENT AMOUNT1|LOAN NUMBER 2|LOAN REPAYMENT AMOUNT2|LOAN NUMBER 3|LOAN REPAYMENT AMOUNT3|LOAN NUMBER 4|LOAN REPAYMENT AMOUNT4|LOAN NUMBER 5|LOAN REPAYMENT AMOUNT5|LOCATION CODE|HR SUB AREA|DATE OF HIRE|ADJUSTED DATE OF HIRE|EMPLOYMENT STATUS|Employment Sub-type|EMPLOYMENT STATUS DATE|EMPLOYEE TYPE|PAYROLL MODE|YEARS OF SERVICE|MONTHS OF SERVICE|ANNUAL SALARY|ADDITIONAL COMPENSATION|PER PAY COMPENSATION|PER PAY HOURS WORKED|YEAR TO DATE TYPE|YEAR TO DATE BASE COMPENSATION|YEAR TO DATE TOTAL COMPENSATION|YEAR TO DATE HOURS WORKED|HCE FLAG|KEY EMPLOYEE FLAG|AE EXCLUSION FLAG|EMPLOYEE PLAN STATUS|PLAN ENTRY DATE|VESTED DATE|ADJUSTMENT END DATE|VESTING SOURCE CODE 1|VESTING PERCENTAGE 1|VESTING SOURCE CODE 2|VESTING PERCENTAGE 2|VESTING SOURCE CODE 3|VESTING PERCENTAGE 3|CONTRIBUTION SOURCE CODE1|DEFERRAL PERCENTAGE - CS1|PAY PER DEFERRAL AMOUNT - CS1|CONTRIBUTION SOURCE CODE2|DEFERRAL PERCENTAGE - CS2|PAY PER DEFERRAL AMOUNT - CS2|CONTRIBUTION SOURCE CODE3|DEFERRAL PERCENTAGE - CS3|PAY PER DEFERRAL AMOUNT - CS3|PLAN ANNUAL SALARY|Employer Contribution Eligibility Source1|EMPLOYER CONTRIBUTION ELIGIBILITY DATE1|EMPLOYER CONTRIBUTION ELIGIBILITY SOURCE2|EMPLOYER CONTRIBUTION ELIGIBILITY DATE2|AUTOMATIC DEFERRAL INCREASE TYPE|AUTOMATIC DEFERRAL INCREASE ELECTION DATE|AUTOMATIC DEFERRAL INCREASE NEXT INCREASE DATE|AUTOMATIC DEFERRAL INCREASE END DATE|AUTOMATIC DEFERRAL INCREASE FREQUENCY|AUTOMATIC DEFERRAL INCREASE AMOUNT|AUTOMATIC DEFERRAL INCREASE AMOUNT MAXIMUM|AUTOMATIC DEFERRAL INCREASE PERCENTAGE|AUTOMATIC DEFERRAL INCREASE PERCENTAGE MAXIMUM
D|Yoshi owns luigi|||||||||B|897365123|100100002||Julia||Keating|67 Pascack Road|||Woodcliff Lake|NJ|07675|USA|U|19670916|F|S|2018417892||||||JKeating@Anotherworld.com||||||||||||||||||||||||||||||||19990104||T||20071109||100|23|283|38749.88||B|||||||||||||||||||||||||||||||||||||||||
D|Yoshi owns luigi|||||||||B|901011056|000010028||Richard||Sosnowski|189 Pedro St|||Toronto|QC|J8J1U7|CAN||19440909|M|M|||||||RSosnowski@Tothemax.com||||||||||||||||||||||||||||||||19990101||E|R|20000101||100|23|283|73320.00||B|||||||||||||||||||||||||||||||||||||||||
D|Yoshi owns luigi|||||||||B|289163537|100100012||Paula||Comeaux|785 Belvedere NE|||Warren|OH|60056|USA||19590725|M|M|3308654789||||||PComeaux@Anotherworld.com||||||||||||||||||||||||||||||||19990101||E|O|19990101||100|23|283|39000.00||B|||||||||||||||||||||||||||||||||||||||||
D|Yoshi owns luigi|||||||||W|334646474|000010003||Michael||Wilson|2303 Oak Hill Drive|||San Jose|CA|95110|USA||19630716|M|S|4082802569||||||MWilson@MaxAmusement.com||||||||||||||||||||||||||||||||19840214||T||20081119||100|38|462|38126.40||W|||||||||||||||||||||||||||||||||||||||||
D|Yoshi owns luigi|||||||||W|568794561|000010006||Maria||Rodriguez|5652 E. Arbor Vitae St.|||Los Angeles|CA|90045|USA||19580621|F|M|3106459898||||||||||||||||||||||||||||||||||||||19970117||E|O|19970117||100|25|307|56680.00||W|||||||||||||||||||||||||||||||||||||||||
D|Yoshi owns luigi|||||||||B|596857412|000010022||Sophia||Amore1|21 Hawthorne Blvd, Apt 5|||Palos Verdes|AR|90723|USA||19560823|F|M|5614256325||||||SAmore2@Tothemax.com||||||||||||||||||||||||||||||||19990101||E|O|20090601||100|23|283|69999.90||B|||||||||||||||||||||||||||||||||||||||||
D|Yoshi owns luigi|||||||||W|256897458|000010032||Jill||Shoope|2030 Main Street|Apt# 143||Irvine|CA|92714|USA|U|19720105|F|M|7142239880||||||JShoope@Tothemax.com||||||||||||||||||||||||||||||||20010501||T||20090516||100|21|255|43680.00||W|||||||||||||||||||||||||||||||||||||||||
D|Yoshi owns luigi|||||||||B|989561515|000010040||Olivia||Stone|4516 Magnolia Boulevard|||Burbank|CA|91502|USA||19720704|F|S|8185557878||||||olivia_stone@ueltmap.com||||||||||||||||||||||||||||||||20030601||E|O|20030601||100|19|230|85280.00||B|||||||||||||||||||||||||||||||||||||||||
D|Yoshi owns luigi|||||||||B|912574327|000010041||Lucy||Bridges|72 West Chula Vista Way|||Burbank|IA|95104|USA|U|19691011|F|M|8182315561||||||ltbridges@ueltothe max.com||||||||||||||||||||||||||||||||20030601||E|O|20040601||100|19|230|80808.00||B|||||||||||||||||||||||||||||||||||||||||
D|Yoshi owns luigi|||||||||W|051567891|000010043||Caron||Dale|17070 Camelot Cir|||Huntington Bech|CA|926494507|USA|U|19620510|F|S|7145557895||||||Cdale@tothemax.com||||||||||||||||||||||||||||||||20030601||E|O|20030601||100|19|230|49920.00||W|||||||||||||||||||||||||||||||||||||||||
D|Yoshi owns luigi|||||||||B|252715422|000010044||Adele||Sampson|4861 Birchland Pl|||Temple City|CA|917804013|USA|U|19741205|F|S|6262214532||||||ASampson@tothemax.com||||||||||||||||||||||||||||||||20030518||E|O|20030518||100|19|231|115440.00||B|||||||||||||||||||||||||||||||||||||||||
D|Yoshi owns luigi|||||||||B|801268558|000010045||Patricia||Harrison|25331 Mainsail Dr|||Dana Point|CA|926291334|USA||19741105|F|M|9495551278||||||HarrisonP@tothemax.com||||||||||||||||||||||||||||||||20030601||E|O|20030601||100|19|230|126360.00||B|||||||||||||||||||||||||||||||||||||||||
