Legal Company Name,Client ID,EE First Name,EE Last Name,EE Street Address,EE City,EE State,EE Zip Code,EE SSN,EE Gender,EE DOB,EE Smoker Status,EE Date of Hire,EE Status,EE Status Date,EE LOA Type,Cigna Product Class,Cigna Billing Account,Benefit Elected,Coverage Election Date,Coverage Effective Date,QLE/Revised Eligibility Date,Plan Type,AI/CI/HC Coverage Tier,EE CI Approved Coverage Amount,SP CI Approved Coverage Amount,SP Coverage Effective Date,CH CI Approved Coverage Amount,CH Coverage Effective Date,SP First Name,SP Last Name,SP SSN,SP Gender,SP DOB,SP Smoker Status,Payroll Frequency,Payroll Deduction  Amt,Premium Paid to Date,AI termination Status Code,AI Termination Status Effective Date,CI Termination Status Code,CI Termination Status Effective Date,HC Termination Status Code,HC Termination Status Effective Date,Takeover Indicator,File Type
ABC Company,1234567,Lee,Russell,123 Any Street,Jackson,SC,12345,999999999,M,01/01/1980,Y,10/05/2016,A,,,001,001,VAI,10/21/2016,01/01/2018,,AI123456 Plan 1,EE,,,,,,,,,,,,12,15.00,09/30/2018,,,,,,,N,F
ABC Company,1234567,Lee,Russell,123 Any Street,Jackson,SC,12345,999999999,M,01/01/1980,Y,10/05/2016,A,,,001,001,VCI,10/21/2016,01/01/2018,,CI345678,EE,30000,,,,,,,,,,,12,25.00,09/30/2018,,,,,,,N,F
ABC Company,1234567,Lee,Russell,123 Any Street,Jackson,SC,12345,999999999,M,01/01/1980,Y,10/05/2016,A,,,001,001,VHC,10/21/2016,01/01/2018,,HC987654 High,EE,,,,,,,,,,,,12,15.00,09/30/2018,,,,,,,N,F
ABC Company,1234567,Janice,Swift,456 Main Street,Jackson,SC,12345,999999999,F,04/01/1980,N,03/15/2016,A,,,001,002,VCI,06/04/2017,01/01/2018,,CI345678,Family,30000,15000,01/01/2018,5000,01/01/2018,John,Swift,999999999,M,01/01/1980,N,12,30.00,09/30/2018,,,,,,,N,F
ABC Company,1234567,Janice,Swift,456 Main Street,Jackson,SC,12345,999999999,F,04/01/1980,N,03/15/2016,A,,,001,002,VHC,06/04/2017,01/01/2018,,HC987654 High,Family,,,01/01/2018,,01/01/2018,John,Swift,999999999,M,01/01/1980,N,12,10.00,09/30/2018,,,,,,,N,F
ABC Company,1234567,Janice,Swift,456 Main Street,Jackson,SC,12345,999999999,F,04/01/1980,N,03/15/2016,C,,,001,002,VAI,06/04/2017,01/01/2018,,AI123456 Plan 1,Family,,,01/01/2018,,01/01/2018,John,Swift,999999999,M,01/01/1980,N,12,15.25,09/30/2018,T,12/31/2018,,,,,N,F
ABC Company,1234567,Jordan,Ty,456 Main Street,Jackson,SC,12345,999999999,F,04/01/1980,N,03/15/2016,L,09/01/2018,P,001,002,VHC,06/04/2017,01/01/2018,,HC987654 High,EE,,,,,,,,,,,,12,10.00,08/31/2018,,,,,,,N,F
ABC Company,1234567,Neal,Gamby,987 Main Street,Jackson,SC,12345,999999999,M,01/01/1980,N,11/03/2016,A,,,001,001,VHC,11/01/2017,01/01/2018,12/17/2018,HC987654 High,EE Plus SP,,,12/17/2018,,,Jessica,Gamby,999999999,F,02/12/1981,N,12,10.00,09/30/2018,,,,,,,N,F
ABC Company,1234567,Jackson,Taylor,456 Main Street,Jackson,SC,12345,999999999,F,04/01/1980,N,03/15/2016,T,12/31/2018,,001,002,VCI,06/04/2017,01/01/2018,,CI345678,Family,30000,15000,01/01/2018,5000,01/01/2018,John,Swift,999999999,M,01/01/1980,N,12,30.00,09/30/2018,,,,,,,N,F
ABC Company,1234567,Swift,Truck,456 Main Street,Jackson,SC,12345,999999999,F,04/01/1980,N,03/15/2016,D,12/17/2018,,001,002,VAI,06/04/2017,01/01/2018,,AI123456 Plan 1,Family,,,01/01/2018,,01/01/2018,John,Swift,999999999,M,01/01/1980,N,12,15.25,09/30/2018,,,,,,,N,F
