Legal Company Name,Client ID,EE First Name,EE Last Name,EE Street Address,EE City,EE State,EE Zip Code,EE SSN,EE Gender,EE DOB,EE Smoker Status,EE Date of Hire,EE Status,EE Status Date,EE LOA Type,Cigna Product Class,Cigna Billing Account,Benefit Elected,Coverage Election Date,Coverage Effective Date,QLE/Revised Eligibility Date,Plan Type,AI/CI/HC Coverage Tier,EE CI Approved Coverage Amount,SP CI Approved Coverage Amount,SP Coverage Effective Date,CH CI Approved Coverage Amount,CH Coverage Effective Date,SP First Name,SP Last Name,SP SSN,SP Gender,SP DOB,SP Smoker Status,Payroll Frequency,Payroll Deduction  Amt,Premium Paid to Date,AI termination Status Code,AI Termination Status Effective Date,CI Termination Status Code,CI Termination Status Effective Date,HC Termination Status Code,HC Termination Status Effective Date,Takeover Indicator,File Type
ABC Company,1234567,Lee,Russell,123 Any Street,Jackson,SC,12345,999999999,M,1/1/80,Y,10/5/16,A,,,1,1,VAI,10/21/16,1/1/18,,AI123456 Plan 1,EE,,,,,,,,,,,,12,15,9/30/18,,,,,,,N,F
ABC Company,1234567,Lee,Russell,123 Any Street,Jackson,SC,12345,999999999,M,1/1/80,Y,10/5/16,A,,,1,1,VCI,10/21/16,1/1/18,,CI345678,EE,30000,,,,,,,,,,,12,25,9/30/18,,,,,,,N,F
ABC Company,1234567,Lee,Russell,123 Any Street,Jackson,SC,12345,999999999,M,1/1/80,Y,10/5/16,A,,,1,1,VHC,10/21/16,1/1/18,,HC987654 High,EE,,,,,,,,,,,,12,15,9/30/18,,,,,,,N,F
ABC Company,1234567,Janice,Swift,456 Main Street,Jackson,SC,12345,999999999,F,4/1/80,N,3/15/16,A,,,1,2,VCI,6/4/17,1/1/18,,CI345678,Family,30000,15000,1/1/18,5000,1/1/18,John,Swift,999999999,M,1/1/80,N,12,30,9/30/18,,,,,,,N,F
ABC Company,1234567,Janice,Swift,456 Main Street,Jackson,SC,12345,999999999,F,4/1/80,N,3/15/16,A,,,1,2,VHC,6/4/17,1/1/18,,HC987654 High,Family,,,1/1/18,,1/1/18,John,Swift,999999999,M,1/1/80,N,12,10,9/30/18,,,,,,,N,F
ABC Company,1234567,Janice,Swift,456 Main Street,Jackson,SC,12345,999999999,F,4/1/80,N,3/15/16,C,,,1,2,VAI,6/4/17,1/1/18,,AI123456 Plan 1,Family,,,1/1/18,,1/1/18,John,Swift,999999999,M,1/1/80,N,12,15.25,9/30/18,T,12/31/18,,,,,N,F
ABC Company,1234567,Jordan,Ty,456 Main Street,Jackson,SC,12345,999999999,F,4/1/80,N,3/15/16,L,9/1/18,P,1,2,VHC,6/4/17,1/1/18,,HC987654 High,EE,,,,,,,,,,,,12,10,8/31/18,,,,,,,N,F
ABC Company,1234567,Neal,Gamby,987 Main Street,Jackson,SC,12345,999999999,M,1/1/80,N,11/3/16,A,,,1,1,VHC,11/1/17,1/1/18,12/17/18,HC987654 High,EE Plus SP,,,12/17/18,,,Jessica,Gamby,999999999,F,2/12/81,N,12,10,9/30/18,,,,,,,N,F
ABC Company,1234567,Jackson,Taylor,456 Main Street,Jackson,SC,12345,999999999,F,4/1/80,N,3/15/16,T,12/31/18,,1,2,VCI,6/4/17,1/1/18,,CI345678,Family,30000,15000,1/1/18,5000,1/1/18,John,Swift,999999999,M,1/1/80,N,12,30,9/30/18,,,,,,,N,F
ABC Company,1234567,Swift,Truck,456 Main Street,Jackson,SC,12345,999999999,F,4/1/80,N,3/15/16,D,12/17/18,,1,2,VAI,6/4/17,1/1/18,,AI123456 Plan 1,Family,,,1/1/18,,1/1/18,John,Swift,999999999,M,1/1/80,N,12,15.25,9/30/18,,,,,,,N,F
